"","ARPE19","T53D4","RasV12","MekDD","Aktmyr"
"SAMD11",5.46208694595186,5.81528875006562,6.91243596598409,6.84016434710113,7.2915993841479
"NOC2L",11.8067738891191,11.8595369579311,12.0483408114355,11.7537697359089,11.4531189183595
"KLHL17",8.50552976072417,8.64659284869209,8.98219767481816,8.68535537551105,8.55629997155735
"PLEKHN1",7.71715985567475,7.55993527492506,8.03610074647116,7.62458390786417,6.86919622757301
"HES4",8.99236911867377,9.52772381601145,8.70357938991341,9.1642921955907,8.77019059295849
"ISG15",7.27519152839605,7.22058712647903,7.10461059448353,7.01095966107835,7.42639138454374
"C1orf159",8.78544301753441,9.06268394120089,8.85827605156645,8.64998385225256,8.77407443334904
"TNFRSF18",1.24652080341189,1.04581596954727,1.03477925164663,1.01818602028168,1.03600970404167
"UBE2J2",11.0930289658441,11.2529677712307,11.1702569146126,10.9442744826523,10.9151080278583
"PUSL1",8.46922880034738,8.627183055023,8.80489984772805,8.62176213256488,8.38960154433143
"INTS11",11.0768222782714,11.2522036408001,11.3269166284082,11.3266097519856,10.9577709394987
"CPTP",9.82436444055818,9.806733081417,10.1149605825303,9.98733116420949,9.61719140501058
"TAS1R3",3.804990248859,3.75995456203426,3.95754962748757,4.03680637876488,3.74516158076074
"DVL1",12.2548682138946,12.4194730973034,13.0904748834511,12.6914223567175,12.0008718647763
"AURKAIP1",11.3534067406595,11.5321834415196,11.7780115384055,11.5066921874629,11.308878912673
"ANKRD65",0.333478971645925,0.384388309307104,0.29068820990352,0.311980753468121,0.320911460769235
"VWA1",5.90888215946619,5.72027892361307,4.98439959331396,4.7816939628922,6.68403939999377
"ATAD3B",9.62618820896489,9.7330661771991,9.79178890621588,9.69978545698255,9.15972520733999
"ATAD3A",10.7181078148755,11.0783270692406,11.0718238196744,10.9832555327769,10.5744728960975
"TMEM240",6.84211858241777,7.00277356761051,6.48629113383307,6.96845681092115,6.51037826611762
"FNDC10",10.2516328605522,10.1384996654035,9.08761780966196,10.0093872799769,10.0959941724215
"SLC35E2A",10.2997562074217,10.2956665804303,10.0267570597113,10.1031437368565,10.0426947720695
"NADK",11.2735388609311,11.4105665918703,11.2978403778939,11.3494476624017,11.1860739273177
"GNB1",14.2251336673282,14.192543695735,14.1670982583977,14.2026190672335,14.3493388858553
"TMEM52",3.94922633056554,4.05631098680876,3.84749549720235,3.97047674770591,3.90733233627489
"PRKCZ",9.36310515223372,9.2195266081302,7.34056299389227,8.54499416194538,8.81596885282692
"MORN1",7.47176000527179,7.55310448563001,7.52168803926557,7.71887595562688,7.19326540722007
"RER1",11.6226462514937,11.6033727766173,11.9069627262202,11.6076223689283,11.6802501228459
"PLCH2",3.14113668337733,2.71002260948608,2.65794427775198,2.74027996593201,3.54944423390977
