"","x"
"MCUR1",1
"MYLIP",1
"MBOAT1",1
"PGBD1",1
"TRIM27",1
"NRM",1
"FLOT1",1
"VARS2",1
"CCHCR1",1
"TCF19",1
"GPANK1",1
"SAPCD1",1
"UQCC2",1
"FANCE",1
"MAPK14",1
"RNF8",1
"ZNF318",1
"TJAP1",1
"GTPBP2",1
"CENPQ",1
"ZNF451",1
"DDX43",1
"MTO1",1
"COX7A2",1
"PHIP",1
"SNX14",1
"SMIM8",1
"MMS22L",1
"HACE1",1
"ATG5",1
"RTN4IP1",1
"TUBE1",1
"NCOA7",1
"TRMT11",1
"CENPW",1
"AKAP7",1
"ENPP1",1
"SLC18B1",1
"MYB",1
"MAP3K5",1
"PEX7",1
"AIG1",1
"EPM2A",1
"NUP43",1
"LRP11",1
"FBXO5",1
"RPS6KA2",1
"TBP",1
"FAM20C",1
"NUDT1",1
"LFNG",1
"RPA3",1
"TWIST1",1
"SP4",1
"MPP6",1
"ZNRF2",1
"GGCT",1
"DPY19L1",1
"MPLKIP",1
"BLVRA",1
"CCM2",1
"UPP1",1
"FIGNL1",1
"PSPH",1
"ABHD11",1
"CLIP2",1
"SLC25A40",1
"GNG11",1
"ASNS",1
"TMEM225B",1
"PPP1R35",1
"POP7",1
"CCDC71L",1
"PRKAR2B",1
"PNPLA8",1
"THAP5",1
"IFRD1",1
"LSM8",1
"FAM3C",1
"NRF1",1
"CEP41",1
"PLXNA4",1
"NUP205",1
"FAM180A",1
"PTN",1
"ADCK2",1
"EZH2",1
"ZNF212",1
"XRCC2",1
"NOM1",1
"WWC3",1
"FANCB",1
"AP1S2",1
"SCML1",1
"SCML2",1
"APOO",1
"GK",1
"RPGR",1
"MID1IP1",1
"SUV39H1",1
"TIMM17B",1
"FAM156B",1
"FAM120C",1
"SPIN4",1
"OPHN1",1
"DLG3",1
"TAF1",1
"RTL5",1
"ERCC6L",1
"FAM199X",1
"RADX",1
"NUP62CL",1
"LONRF3",1
"SLC25A5",1
"RBMX2",1
"MAMLD1",1
"FAM50A",1
"ERI1",1
"LONRF1",1
"PSD3",1
"EGR3",1
"STC1",1
"EIF4EBP1",1
"NSD3",1
"ANK1",1
"AP3M2",1
"TCEA1",1
"RPS20",1
"MTFR1",1
"TERF1",1
"TMEM70",1
"PKIA",1
"ZC2HC1A",1
"IMPA1",1
"LRRCC1",1
"NBN",1
"RAD54B",1
"RPL30",1
"FBXO43",1
"RAD21",1
"MED30",1
"DSCC1",1
"MTBP",1
"SNTB1",1
"TBC1D31",1
"TONSL",1
"MFSD3",1
"RECQL4",1
"ZNF34",1
"JAK2",1
"PLGRKT",1
"KIAA2026",1
"UHRF2",1
"LURAP1L",1
"PSIP1",1
"ADAMTSL1",1
"NDUFB6",1
"CHMP5",1
"AL162231.1",1
"FANCG",1
"TESK1",1
"CCDC107",1
"GNE",1
"EXOSC3",1
"AL627230.5",1
"APBA1",1
"PTAR1",1
"SMC5",1
"ALDH1A1",1
"C9orf40",1
"CARNMT1",1
"CEP78",1
"PSAT1",1
"GKAP1",1
"KIF27",1
"SPIN1",1
"CENPP",1
"PHF2",1
"PTPDC1",1
"CTSV",1
"TMEM38B",1
"KLF4",1
"TMEM245",1
"PTGR1",1
"INIP",1
"PRPF4",1
"FBXW2",1
"C5",1
"CNTRL",1
"RABGAP1",1
"SLC25A25",1
"DNM1",1
"ODF2",1
"WDR34",1
"AL441992.3",1
"DOLPP1",1
"RAPGEF1",1
"MED22",1
"UBAC1",1
"INPP5E",1
"PAXX",1
"BX255925.3",1
"TUBB4B",1
"MRPL41",1
"DPH7",1
"TSSC4",1
"CARS1",1
"RRP8",1
"ZNF215",1
"SAAL1",1
"PRRG4",1
"KIAA1549L",1
"PEX16",1
"CELF1",1
"MRPL16",1
"TMEM138",1
"FEN1",1
"FADS1",1
"BEST1",1
"TAF6L",1
"FKBP2",1
"TRMT112",1
"CDCA5",1
"MUS81",1
"KLC2",1
"GRK2",1
"AIP",1
"CHKA",1
"MRPL48",1
"POLD3",1
"NEU3",1
"ACER3",1
"DDIAS",1
"DLG2",1
"EED",1
"SLC36A4",1
"SMCO4",1
"CEP295",1
"MRE11",1
"CEP57",1
"CWF19L2",1
"ATM",1
"POGLUT3",1
"DDX10",1
"FDX1",1
"PTS",1
"BUD13",1
"SLC37A4",1
"HMBS",1
"CCDC15",1
"TMEM218",1
"NCAPD3",1
"GATA3",1
"DNAJC1",1
"ZFAND4",1
"PRKG1",1
"CSTF2T",1
"PCDH15",1
"ZWINT",1
"CISD1",1
"CDK1",1
"SIRT1",1
"DNA2",1
"HKDC1",1
"TYSND1",1
"LRRC20",1
"DNAJC9",1
"ANXA7",1
"CHCHD1",1
"GHITM",1
"KIF20B",1
"ARHGAP19",1
"GOT1",1
"SLC25A28",1
"ERLIN1",1
"FBXL15",1
"ARL3",1
"PCGF6",1
"TAF5",1
"DCLRE1A",1
"FAM204A",1
"NSMCE4A",1
"TACC2",1
"DMBT1",1
"ZNF511",1
"CCDC77",1
"FBXL14",1
"RHNO1",1
"PIANP",1
"EMG1",1
"GPR19",1
"H2AJ",1
"RECQL",1
"MED21",1
"ARNTL2",1
"PTHLH",1
"CCDC91",1
"ALG10",1
"AC093012.1",1
"SENP1",1
"KANSL2",1
"RHEBL1",1
"TROAP",1
"MCRS1",1
"ESPL1",1
"BLOC1S1",1
"COQ10A",1
"PRIM1",1
"NEMP1",1
"SHMT2",1
"R3HDM2",1
"INHBE",1
"MARS1",1
"DDIT3",1
"SLC16A7",1
"XPOT",1
"MDM1",1
"NUP107",1
"SLC6A15",1
"RASSF9",1
"GALNT4",1
"CEP83",1
"NDUFA12",1
"SNRPF",1
"NEDD1",1
"NUP37",1
"FAM222A",1
"TCHP",1
"GPN3",1
"VPS29",1
"TMEM116",1
"ERP29",1
"RFC5",1
"COX6A1",1
"RNF34",1
"ORAI1",1
"KNTC1",1
"ABCB9",1
"KMT5A",1
"DDX55",1
"ATP6V0A2",1
"SFSWAP",1
"PGAM5",1
"SKA3",1
"MRPL57",1
"CENPJ",1
"MTMR6",1
"PDS5B",1
"EXOSC8",1
"RGCC",1
"AKAP11",1
"KCTD4",1
"LRCH1",1
"RNASEH2B",1
"MZT1",1
"TBC1D4",1
"OBI1",1
"ZIC2",1
"TEX30",1
"ING1",1
"TUBGCP3",1
"PARP2",1
"PIP4P1",1
"METTL3",1
"HAUS4",1
"PSMB5",1
"BCL2L2",1
"PCK2",1
"CHMP4A",1
"MIPOL1",1
"FANCM",1
"POLE2",1
"L2HGDH",1
"GPR137C",1
"WDHD1",1
"SIX1",1
"MNAT1",1
"WDR89",1
"SGPP1",1
"GALNT16",1
"LIN52",1
"MLH3",1
