"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"AURKB",10.8547864157665,10.1620809508704,9.89571101392674,10.9556848355697,10.8826915101216,10.4657966556677,10.5745695031056,10.403086564526,10.5499161383394,10.7413304868518,10.9474401852815,10.869351691497,10.8469964580949,10.499987201975,10.2220593629525
"SKA1",9.76775859016229,9.10897722481905,8.72311752575293,10.165723629113,9.58578423259308,9.69777388698152,9.89861308397401,9.67722713787076,9.89456498549327,9.93707329428564,10.0450752552849,9.61545886348288,9.79228086879007,9.44708880975556,9.0598773200945
"SKA3",10.1214272016798,9.38402617613479,9.1156579138753,10.5023773965507,9.92873309967904,9.87693245079431,10.0778015563063,10.0839249192051,10.1946347299492,10.2460961812091,10.4696343194345,10.1168009977713,10.2745959192274,9.63408484534219,9.66384527808813
"SGO1",9.58094218320676,9.3994267681551,8.74008713399467,9.97399652591896,9.4237421282005,9.48436494115225,9.926286128884,9.68584717306157,9.65706930540123,9.69549750027864,9.84563463398828,9.65054783332925,9.65044526802588,9.50428998765333,9.16077455442226
"PPP2R5B",9.4074830772157,10.2184651139966,9.97237210665609,9.20536200232041,9.81851046840641,8.93398691025448,9.83030074748482,9.33873128185742,9.20691963033515,8.9241320442958,9.23965910410858,9.22479783821339,9.16662068675832,10.0443633315315,9.62528903334799
"PPP2R5D",10.0212049901601,10.5089923895933,10.3054131791427,10.2573052334331,10.2418679918797,10.0259849371067,10.33950351584,10.1400317040813,10.010383657578,10.1476977143144,10.2637026234868,10.3905693626223,10.3661464007632,10.4603642214578,10.170713607548
"PPP1CC",12.8984009534513,12.4764083652308,12.588196549635,13.0143283709788,12.6105975158259,12.8727322003448,12.7698168335803,12.9943931839262,12.4964792094131,12.7849661971287,12.7614711342464,12.7062316118408,12.8903156720057,12.3376960377969,12.8009577867917
"PPP1CB",13.4809881212395,13.8559131729822,13.5794989384933,12.9672501810598,13.8501636742237,13.4108895030723,13.5684863611893,13.3551222899451,12.9689168109657,13.3118383527207,12.6121167655803,13.0154683562655,12.9848449621531,13.1711746519002,13.1222486035148
"NUF2",11.3061085457896,10.5753448513894,10.136917946732,11.5254759021767,10.8625575883151,11.1779863633177,11.1221301693265,11.1434374505219,11.0520899076341,11.224448707196,11.0754321213663,10.9042657884187,11.3488166662826,10.4521687630182,10.5381777987765
"SPC24",10.7357636663169,10.6128240537692,10.0145367437372,11.1102409570786,10.7129687916416,10.9700997837873,11.348935028198,10.7429477010601,10.9293109945125,11.2583780847416,10.8256950023391,10.8213796405949,10.7741809889053,10.7967668463956,10.0473213547502
