"","ARPE19","T53D4","RasV12","MekDD","Aktmyr"
"AURKB",10.1736189804684,10.8311245628235,10.9501884020442,10.722526509843,10.4122125519837
"SKA1",9.15340732790606,9.71277213012053,10.0852913798942,9.75260444864463,9.48489303951621
"SKA3",9.62114270372283,10.0972100928865,10.4805486784733,10.0909851905672,9.69863752592777
"SGO1",9.19556962049283,9.58992915393613,9.88842193129851,9.5719174641283,9.61000096156414
"PPP2R5B",9.6454641406205,9.32248011697187,9.22822673684586,9.16936355807617,10.0310430643376
"PPP2R5D",10.2053861635907,10.2600450229388,10.2615701601355,10.13777877601,10.4362867089637
"PPP1CC",12.7945158401176,12.7005984415985,12.8457568798239,12.8871496086006,12.527973745536
"PPP1CB",13.3522899439844,13.3924901277366,12.7304945707401,13.292240862155,13.5318580620239
"NUF2",10.6061777320101,10.9970906946433,11.2254467149697,11.2776371917966,10.7165479279114
"SPC24",10.2682685998492,10.9309088389927,10.9205436539189,10.8266814796698,10.9195086427876
