"","x"
"GMCL1",1
"MXD1",1
"SNRPG",1
"AC007040.2",1
"MPHOSPH10",1
"SMYD5",1
"CCT7",1
"ACTG2",1
"DGUOK",1
"BOLA3",1
"MOB1A",1
"MTHFD2",1
"C2orf81",1
"PCGF1",1
"AUP1",1
"GCFC2",1
"TRABD2A",1
"ELMOD3",1
"USP39",1
"INPP4A",1
"UNC50",1
"MGAT4A",1
"MRPL30",1
"TXNDC9",1
"NPAS2",1
"MAP4K4",1
"UXS1",1
"SEPTIN10",1
"TMEM87B",1
"ZC3H8",1
"SLC20A1",1
"CKAP2L",1
"IL1A",1
"IL1B",1
"RALB",1
"NIFK",1
"GYPC",1
"BIN1",1
"CYP27C1",1
"ERCC3",1
"POLR2D",1
"MZT2B",1
"CCDC74A",1
"GPR39",1
"LYPD1",1
"TMEM163",1
"ZRANB3",1
"CXCR4",1
"SPOPL",1
"KYNU",1
"ARHGAP15",1
"ACVR2A",1
"KIF5C",1
"TNFAIP6",1
"FMNL2",1
"ARL6IP6",1
"ACVR1C",1
"ACVR1",1
"WDSUB1",1
"CD302",1
"PSMD14",1
"GRB14",1
"SCN2A",1
"TTC21B",1
"STK39",1
"DHRS9",1
"BBS5",1
"METTL5",1
"SP5",1
"ITGA6",1
"MTX2",1
"PDE11A",1
"OSBPL6",1
"PLEKHA3",1
"TTN",1
"CCDC141",1
"SESTD1",1
"ZNF385B",1
"CWC22",1
"ITPRID2",1
"ZNF804A",1
"ZC3H15",1
"GULP1",1
"WDR75",1
"OSGEPL1",1
"TMEFF2",1
"STK17B",1
"HECW2",1
"CCDC150",1
"GTF3C3",1
"PGAP1",1
"ANKRD44",1
"HSPD1",1
"MARS2",1
"PLCL1",1
"SATB2",1
"C2orf69",1
"TYW5",1
"MAIP1",1
"BZW1",1
"PPIL3",1
"NIF3L1",1
"ICA1L",1
"CYP20A1",1
"ADAM23",1
"FASTKD2",1
"BARD1",1
"MREG",1
"ZNF142",1
"RNF25",1
"GLB1L",1
"FARSB",1
"ACSL3",1
"SCG2",1
"SERPINE2",1
"RHBDD1",1
"CCL20",1
"PID1",1
"DNER",1
"CAB39",1
"SNORC",1
"NGEF",1
"ATG16L1",1
"HJURP",1
"ARL4C",1
"COL6A3",1
"MLPH",1
"UBE2F",1
"ERFE",1
"PER2",1
"ASB1",1
"TWIST2",1
"COPS9",1
"CAPN10",1
"SNED1",1
"PASK",1
"ITPR1",1
"OGG1",1
"VHL",1
"ATG7",1
"TAMM41",1
"TIMP4",1
"RPL32",1
"MRPS25",1
"CAPN7",1
"ANKRD28",1
"DPH3",1
"OXNAD1",1
"SATB1",1
"SGO1",1
"ZNF385D",1
"NKIRAS1",1
"RPL15",1
"NR1D2",1
"THRB",1
"CMC1",1
"AZI2",1
"TGFBR2",1
"STT3B",1
"CMTM7",1
"CMTM6",1
"CLASP2",1
"SCN5A",1
"CSRNP1",1
"SLC25A38",1
"EIF1B",1
"ENTPD3",1
"SEC22C",1
"SS18L2",1
"HIGD1A",1
"SNRK",1
"ANO10",1
"ZNF35",1
"ZNF501",1
"KIF15",1
"CDCP1",1
"TMEM158",1
"CCR1",1
"DHX30",1
"UCN2",1
"UQCRC1",1
"SLC26A6",1
"QRICH1",1
"IHO1",1
"GPX1",1
"GMPPB",1
"INKA1",1
"TRAIP",1
"SEMA3F",1
"SLC38A3",1
"HYAL2",1
"TUSC2",1
"MAPKAPK3",1
"DOCK3",1
"MANF",1
"RPL29",1
"GLYCTK",1
"PHF7",1
"SPCS1",1
"NEK4",1
"STIMATE",1
"RFT1",1
"PRKCD",1
"PDE12",1
"SLMAP",1
"ABHD6",1
"RPP14",1
"KCTD6",1
"CADPS",1
"RYBP",1
"C3orf38",1
"ARL13B",1
"EPHA6",1
"CLDND1",1
"DCBLD2",1
"CMSS1",1
"TRMT10C",1
"MYH15",1
"CIP2A",1
"PLCXD2",1
"ABHD10",1
"TAGLN3",1
"ATG3",1
"NAA50",1
"GRAMD1C",1
"ZDHHC23",1
"TMEM39A",1
"GSK3B",1
"LRRC58",1
"GTF2E1",1
"HCLS1",1
"CSTA",1
"HSPBAP1",1
"CHCHD6",1
"GATA2",1
"MRPL3",1
"ACP3",1
"TMEM108",1
"ANAPC13",1
"CEP63",1
"EPHB1",1
"MSL2",1
"SLC35G2",1
"MRPS22",1
"RBP1",1
"RASA2",1
"TFDP2",1
"U2SURP",1
"CHST2",1
"HLTF",1
"WWTR1",1
"EIF2A",1
"SELENOT",1
"IGSF10",1
"P2RY1",1
"RAP2B",1
"SSR3",1
"VEPH1",1
"PTX3",1
"C3orf80",1
"KPNA4",1
"PPM1L",1
"SERPINI1",1
"GOLIM4",1
"MECOM",1
"LRRC34",1
"SKIL",1
"EIF5A2",1
"PIK3CA",1
"MRPL47",1
"NDUFB5",1
"PEX5L",1
"B3GNT5",1
"CAMK2N2",1
"PSMD2",1
"FAM131A",1
"POLR2H",1
"TMEM41A",1
"IGF2BP2",1
"DGKG",1
"RPL39L",1
"BCL6",1
"IL1RAP",1
"PLAAT1",1
"ACAP2",1
"TNK2",1
"RNF168",1
"WDR53",1
"FBXO45",1
"NRROS",1
"SENP5",1
"NCBP2",1
"RPL35A",1
"ZNF595",1
"ZNF721",1
"GAK",1
"HAUS3",1
"ZFYVE28",1
"PPP2R2C",1
"MRFAP1L1",1
"GRPEL1",1
"GPR78",1
"HS3ST1",1
"RAB28",1
"LDB2",1
"PACRGL",1
"ADGRA3",1
"SOD3",1
"PI4K2B",1
"ZCCHC4",1
"SEL1L3",1
"SMIM20",1
"C4orf19",1
"RELL1",1
"TMEM156",1
"LIAS",1
"SMIM14",1
"CHRNA9",1
"TMEM33",1
"GNPDA2",1
"GABRA2",1
"OCIAD2",1
"KDR",1
"COX18",1
"PPBP",1
"CXCL5",1
"CXCL3",1
"CXCL2",1
"MTHFD2L",1
"AREG",1
"PARM1",1
"THAP6",1
"CDKL2",1
"NAAA",1
"SDAD1",1
"SEPTIN11",1
"CNOT6L",1
