"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"SAMD11",6.62996962176784,7.01296518415967,5.81768450966654,7.15565360723391,5.91207520722694,7.60096053931106,7.43383955649739,5.2545756088858,7.91652983079495,5.85402111105237,6.79082714535918,5.67976993191756,6.28956288022448,7.42799341178665,5.31400071930323
"NOC2L",11.6294258275814,11.0774633712586,11.5189438647105,11.9257989071659,11.7989848558216,11.8440848188227,11.7332653553834,12.1233580886425,12.029815621917,12.0501215548717,12.1096117635703,11.7295044631,11.7877985613227,11.5486280284364,11.7780197140043
"KLHL17",8.86022217263752,8.90801760429886,8.78458951404372,9.14582992885231,8.77935731847679,8.52008353027703,8.20373666857879,8.27127794785534,8.8529585429073,8.55534296323822,8.90038154780109,8.60507826436126,8.6757604236186,8.5571456417944,8.46072182027346
"PLEKHN1",7.78256377433095,6.77830968356172,7.82448864864508,7.95102573145852,7.70965539443164,7.47233528537458,6.98619349192347,7.72774829669542,7.95328227557816,7.56083379529876,8.07863825397749,7.40931663504478,7.61885266388698,6.84308550723384,7.59924262168375
"HES4",9.33732085875752,8.93069503083393,9.33536982908964,8.89224101270732,9.83779246654263,9.0154626064541,8.34969775550528,8.66329134570761,8.2958919114943,9.15526095817903,8.60924857851646,9.59011802331269,9.14009312156046,9.03017899253625,8.97844618122405
"ISG15",6.77336609797533,7.21438401997458,7.1334371405371,6.90970821611041,7.23856906547817,7.0222949681104,7.36589826127363,7.33828027867112,7.31585948912102,7.19033120538856,7.20206178367009,7.23286110857036,7.23721791714934,7.69889187238299,7.35385716597994
"C1orf159",8.78045620575116,8.89884828161821,8.87531160229608,8.99117685272703,9.2307483602754,8.54503648197735,8.54078824640005,8.7216844998504,8.69761213542729,8.87455911395742,8.79182565098616,9.08274434936983,8.62445886902917,8.88258677202885,8.75933295045675
"TNFRSF18",1.03872180257816,1.00550223801667,1.17505088741108,1.04529266162936,1.00816911275856,1.01119574689005,1.05150209941907,1.40720823843305,1.01212904673854,1.05736359041057,1.02952254665526,1.07191520547267,1.00464051137682,1.05102477468926,1.15730328439154
"UBE2J2",11.0299886197289,10.9335778572208,11.1539039330865,11.2290197767329,11.4136498828473,10.8546102663098,10.7780391543229,10.9918198866105,10.9814100611853,11.1962894327606,11.1408754835525,11.1489639980841,10.9482245619182,11.0337070720312,11.1333630778353
"PUSL1",8.42892180663016,8.10121132942311,8.20162519811102,8.66544178682088,8.58368855909947,8.65630457691021,8.51444321125698,8.64506357415998,8.82196997023379,8.69812808803979,8.87462887818164,8.59973251792974,8.78006001415427,8.55315009231419,8.56099762877114
"INTS11",11.3690320588907,10.9448513430007,11.1192817367601,11.3995886234205,11.3189629242267,11.2147612861091,10.9216795957295,11.0542168888832,11.2176848701206,11.2471547720835,11.2905806309021,11.1904932260902,11.396035910957,11.0067818797659,11.0569682091708
"CPTP",9.89624283900096,9.50762729925885,9.78385008237231,9.99751544533276,9.88382204158429,9.98979560094057,9.71981670296702,9.86439863649516,9.9420661894398,9.83817588631152,10.173683151129,9.69820131635519,10.0759550526869,9.62413021280588,9.82484460280708
"TAS1R3",4.09905762477922,3.74074388908654,3.78362334884153,3.89946241513829,3.80197295265473,4.09820893948125,3.86737964751022,3.97342174568711,4.14835328284126,3.87738181051386,3.9865932336622,3.60050892293419,3.91315257203415,3.62736120568545,3.65792565204836
"DVL1",12.7460622413863,11.9714322849836,12.1349585752707,13.1195816297412,12.4802975833121,12.6680243440555,12.1111648039916,12.4431710100954,13.0930289867897,12.5564145796813,13.0759215103061,12.2217071289168,12.6601804847108,11.9200185053536,12.1864750563176
"AURKAIP1",11.4079689202552,11.0436986255361,11.1429663573652,11.663812367954,11.4819885985355,11.5868504112837,11.4835655139302,11.6011422756707,11.6981251490755,11.69370728502,11.8351111236313,11.4208544410033,11.5252572308497,11.3993725985526,11.3161115889424
"ANKRD65",0.291311049732137,0.316430150412112,0.345102552043903,0.292369369511221,0.35283661867765,0.330283582123301,0.293378952957455,0.29333204651865,0.293876529483923,0.373629628938477,0.28984763009967,0.426698680305185,0.314347628548924,0.352925278938137,0.362002316375221
"VWA1",5.04663566212791,7.64900217553346,6.88458898483846,5.58522145803006,6.68089022974858,4.6409630784541,6.39534447000201,5.34320401398419,4.92394466527604,5.40712871576117,4.68398866095591,5.07281782532945,4.65748314809461,6.00777155444583,5.49885347957592
"ATAD3B",9.74995710863462,8.90139924680692,9.18583889866368,9.86305925973043,9.71002909786668,9.67161999572329,9.30992919587368,9.91140469134511,9.9303246669406,9.91579672372508,9.7561537294586,9.57337271000552,9.67777926658975,9.26784717933936,9.78132103688588
"ATAD3A",10.8735720837924,10.2051595583002,10.3335612019757,10.9851492191976,11.0950560308558,11.0210450148395,10.772076299111,11.1014926337189,11.1076554759711,11.1376055856084,11.1151611199128,11.0023195912575,11.055149499699,10.7461828308814,10.7192696089318
"TMEM240",6.87213238583973,6.64617527600012,7.00537047534434,6.54395306551677,7.09729455702545,6.99911131339212,6.46521403222757,6.77660606008244,6.69663212928498,6.84941694549069,6.45746016799121,7.06160920031538,7.03412673353162,6.41974549012517,6.74437921182653
"FNDC10",10.0386000452978,10.3612309611229,10.5638518314245,9.30080597967743,10.3710189573939,10.1189096350474,9.91778136784879,10.028032508911,8.87296095931889,10.0944567554315,8.98102372465423,9.95002328338515,9.87065215958543,10.0089701882928,10.1630142413213
"SLC35E2A",9.90728352760476,10.0015042016375,10.4836622308113,9.93800725164411,10.0308391075284,10.2781381014927,10.067081501299,10.1603617809265,10.0245929225425,10.4884554500363,10.0711319637449,10.3677051837262,10.124009581472,10.0594986132721,10.2552446105273
"NADK",11.2635447019805,11.0265579252543,11.1815239565079,11.2887246823293,11.3480010360652,11.4298242403333,11.2498299668814,11.3769704610264,11.1854758083223,11.5174243514826,11.3023982256762,11.366274388063,11.3549740448914,11.2818338898173,11.2621221652589
"GNB1",14.3342960295407,14.4130284754153,14.2082442309364,14.2842819516563,14.3143884462886,14.1503273188945,14.330577635998,14.2115734803881,14.0775768156299,14.1340412433207,14.1085064117683,14.1292013975956,14.1232338532652,14.3044105461525,14.25558329066
"TMEM52",4.01516006823227,3.83209764713199,3.99572486581344,3.84378752188163,4.05195865398436,3.79544046320986,3.91416763564656,3.93984612884385,3.63032431082282,4.09500027617678,3.84934948486271,4.02197403026513,4.10082971167559,3.97573172604612,3.91210799703934
"PRKCZ",8.56614401178822,9.220521791247,9.71438596858339,7.38188109770703,9.27406854700981,8.5236548675232,8.56941368805878,9.1117765083503,7.61203416052149,9.12277453887066,7.31990394198488,9.26173673851013,8.54518360652471,8.657971079175,9.26315297976746
"MORN1",7.65942763627761,7.26474820966225,7.50653152352505,7.4147410825411,7.46910276003438,7.79506912705293,7.08578319547474,7.46459760476774,7.61092903153814,7.72212187036083,7.57516151762781,7.46808882649483,7.70213110355011,7.22926481652321,7.44415088752259
"RER1",11.5662426390461,11.5757090278932,11.4467348227255,11.7909347697965,11.5734819695815,11.6063843030678,11.7437986156698,11.7200219322608,11.9061635102994,11.5998010395467,11.964976704432,11.6368353207238,11.6502401646709,11.7212427249749,11.7011819994947
"PLCH2",2.81682180107509,4.44331402643755,3.70112970295921,2.7130839404943,2.70499559930404,2.73060102223199,2.87760475305159,2.780579752007,2.68202948854361,2.80109285878675,2.63037444638081,2.62397937036744,2.67341707448895,3.32741392224016,2.94170059516579
